time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent
6.00,2.47,-3982.41,0.00,4.670,0.00,50.0
7.00,2.47,-3977.79,0.00,4.627,0.00,50.0
8.00,2.47,-3973.20,0.00,4.584,0.00,50.0
9.00,2.47,-3968.66,0.00,4.543,0.00,50.0
10.00,2.47,-3964.16,0.00,4.502,0.00,50.0
11.00,2.47,-3959.70,0.00,4.462,0.00,50.0
12.00,2.47,-3955.27,0.00,4.423,0.00,50.0
13.00,2.47,-3950.89,0.00,4.384,0.00,50.0
14.00,2.47,-3946.54,0.00,4.346,0.00,50.0
15.00,2.47,-3942.23,0.00,4.309,0.00,50.0
16.00,2.47,-3937.96,0.00,4.273,0.00,50.0
17.00,2.47,-3933.72,0.00,4.238,0.00,50.0
18.00,2.47,-3929.52,0.00,4.203,0.00,50.0
19.00,2.47,-3925.35,0.00,4.169,0.00,50.0
20.00,2.47,-3921.22,0.00,4.136,0.00,50.0
21.00,2.47,-3917.11,0.00,4.103,0.00,50.0
22.00,2.47,-3913.04,0.00,4.071,0.00,50.0
23.00,2.47,-3909.00,0.00,4.039,5.00,50.0
24.00,2.47,-3904.99,0.00,4.009,5.00,50.0
25.00,2.47,-3901.02,0.01,3.978,5.00,50.0
26.00,2.47,-3897.07,0.01,3.949,5.00,50.0
27.00,2.47,-3893.15,0.01,3.920,5.00,50.0
28.00,2.47,-3889.25,0.02,3.892,5.00,50.0
29.00,2.48,-3885.39,0.02,3.864,5.00,50.0
30.00,2.48,-3881.55,0.03,3.836,5.00,50.0
31.00,2.48,-3877.74,0.04,3.810,5.00,50.0
32.00,2.48,-3873.96,0.05,3.784,5.00,50.0
33.00,2.49,-3870.20,0.06,3.758,5.00,50.0
34.00,2.49,-3866.47,0.07,3.733,5.00,50.0
35.00,2.49,-3862.76,0.08,3.708,5.00,50.0
36.00,2.50,-3859.08,0.09,3.684,5.00,50.0
37.00,2.50,-3855.42,0.10,3.660,5.00,50.0
38.00,2.51,-3851.78,0.11,3.637,5.00,50.0
39.00,2.52,-3848.17,0.12,3.614,5.00,50.0
40.00,2.52,-3844.58,0.14,3.592,5.00,50.0
41.00,2.53,-3841.01,0.15,3.570,5.00,50.0
42.00,2.54,-3837.46,0.16,3.549,5.00,50.0
43.00,2.55,-3833.93,0.18,3.528,10.00,50.0
44.00,2.56,-3830.42,0.20,3.507,10.00,50.0
45.00,2.58,-3826.93,0.21,3.487,10.00,50.0
46.00,2.59,-3823.47,0.23,3.467,10.00,50.0
47.00,2.60,-3820.02,0.25,3.448,10.00,50.0
48.00,2.62,-3816.59,0.28,3.429,10.00,50.0
49.00,2.63,-3813.18,0.30,3.410,10.00,50.0
50.00,2.65,-3809.79,0.32,3.392,10.00,50.0
51.00,2.67,-3806.41,0.35,3.374,10.00,50.0
52.00,2.69,-3803.06,0.38,3.357,10.00,50.0
53.00,2.71,-3799.72,0.40,3.340,10.00,50.0
54.00,2.74,-3796.39,0.43,3.323,10.00,50.0
55.00,2.76,-3793.09,0.46,3.306,10.00,50.0
56.00,2.79,-3789.80,0.49,3.290,10.00,50.0
57.00,2.82,-3786.52,0.52,3.275,10.00,50.0
58.00,2.85,-3783.26,0.55,3.259,10.00,50.0
59.00,2.88,-3780.02,0.59,3.244,10.00,50.0
60.00,2.91,-3776.79,0.62,3.229,10.00,50.0
61.00,2.94,-3773.58,0.66,3.214,10.00,50.0
62.00,2.98,-3770.38,0.69,3.200,10.00,50.0
63.00,3.02,-3767.19,0.73,3.186,10.00,50.0
64.00,3.06,-3764.02,0.76,3.172,10.00,50.0
65.00,3.10,-3760.86,0.80,3.159,10.00,50.0
66.00,3.15,-3757.72,0.84,3.146,5.00,50.0
67.00,3.19,-3754.58,0.88,3.133,5.00,50.0
68.00,3.24,-3751.46,0.91,3.120,5.00,50.0
69.00,3.29,-3748.36,0.95,3.108,5.00,50.0
70.00,3.34,-3745.26,0.98,3.096,5.00,50.0
71.00,3.39,-3742.18,1.02,3.084,5.00,50.0
72.00,3.45,-3739.11,1.06,3.072,5.00,50.0
73.00,3.50,-3736.05,1.09,3.061,5.00,50.0
74.00,3.56,-3733.00,1.13,3.049,5.00,50.0
75.00,3.62,-3729.96,1.16,3.038,5.00,50.0
76.00,3.68,-3726.93,1.20,3.028,5.00,50.0
77.00,3.75,-3723.92,1.23,3.017,5.00,50.0
78.00,3.81,-3720.91,1.26,3.007,5.00,50.0
79.00,3.88,-3717.91,1.30,2.997,5.00,50.0
80.00,3.94,-3714.93,1.33,2.987,5.00,50.0
81.00,4.01,-3711.95,1.37,2.977,5.00,50.0
82.00,4.08,-3708.98,1.40,2.967,0.00,50.0
83.00,4.16,-3706.03,1.43,2.958,0.00,50.0
84.00,4.23,-3703.08,1.46,2.949,0.00,50.0
85.00,4.31,-3700.14,1.49,2.940,0.00,50.0
86.00,4.38,-3697.21,1.52,2.931,0.00,50.0
87.00,4.46,-3694.29,1.55,2.923,0.00,50.0
88.00,4.54,-3691.38,1.57,2.914,0.00,50.0
89.00,4.62,-3688.47,1.60,2.906,0.00,50.0
90.00,4.70,-3685.57,1.62,2.898,0.00,50.0
91.00,4.78,-3682.69,1.65,2.890,0.00,50.0
92.00,4.86,-3679.81,1.67,2.882,0.00,50.0
93.00,4.95,-3676.93,1.69,2.874,0.00,50.0
94.00,5.03,-3674.07,1.71,2.867,0.00,50.0
95.00,5.12,-3671.21,1.73,2.859,0.00,50.0
96.00,5.20,-3668.36,1.76,2.852,0.00,50.0
97.00,5.29,-3665.51,1.77,2.845,0.00,50.0
98.00,5.38,-3662.68,1.79,2.838,0.00,50.0
99.00,5.47,-3659.85,1.81,2.832,0.00,50.0
100.00,5.56,-3657.02,1.83,2.825,0.00,50.0
101.00,5.65,-3654.21,1.85,2.818,0.00,50.0
102.00,5.74,-3651.40,1.86,2.812,0.00,50.0
103.00,5.83,-3648.59,1.88,2.806,0.00,50.0
104.00,5.92,-3645.79,1.89,2.800,0.00,50.0
105.00,6.01,-3643.00,1.91,2.794,0.00,50.0
106.00,6.10,-3640.21,1.92,2.788,0.00,50.0
