time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent
8.00,2.47,-3973.20,0.00,4.584,0.00,50.0
9.00,2.47,-3968.66,0.00,4.543,0.00,50.0
10.00,2.47,-3964.16,0.00,4.502,0.00,50.0
11.00,2.47,-3959.70,0.00,4.462,0.00,50.0
12.00,2.47,-3955.27,0.00,4.423,0.00,50.0
13.00,2.47,-3950.89,0.00,4.384,0.00,50.0
14.00,2.47,-3946.54,0.00,4.346,0.00,50.0
15.00,2.47,-3942.23,0.00,4.309,0.00,50.0
16.00,2.47,-3937.96,0.00,4.273,0.00,50.0
17.00,2.47,-3933.72,0.00,4.238,0.00,50.0
18.00,2.47,-3929.52,0.00,4.203,0.00,50.0
19.00,2.47,-3925.35,0.00,4.169,0.00,50.0
20.00,2.47,-3921.22,0.00,4.136,5.00,50.0
21.00,2.47,-3917.11,0.00,4.103,5.00,50.0
22.00,2.47,-3913.04,0.01,4.071,5.00,50.0
23.00,2.47,-3909.00,0.01,4.039,5.00,50.0
24.00,2.47,-3904.99,0.01,4.009,5.00,50.0
25.00,2.47,-3901.02,0.02,3.978,5.00,50.0
26.00,2.48,-3897.07,0.02,3.949,5.00,50.0
27.00,2.48,-3893.15,0.03,3.920,5.00,50.0
28.00,2.48,-3889.25,0.04,3.892,5.00,50.0
29.00,2.48,-3885.39,0.05,3.864,5.00,50.0
30.00,2.49,-3881.55,0.06,3.836,5.00,50.0
31.00,2.49,-3877.74,0.07,3.810,5.00,50.0
32.00,2.49,-3873.96,0.08,3.784,5.00,50.0
33.00,2.50,-3870.20,0.09,3.758,5.00,50.0
34.00,2.50,-3866.47,0.10,3.733,5.00,50.0
35.00,2.51,-3862.76,0.11,3.708,5.00,50.0
36.00,2.52,-3859.08,0.12,3.684,5.00,50.0
37.00,2.53,-3855.42,0.14,3.660,5.00,50.0
38.00,2.53,-3851.78,0.15,3.637,5.00,50.0
39.00,2.54,-3848.17,0.16,3.614,5.00,50.0
40.00,2.55,-3844.58,0.18,3.592,10.00,50.0
41.00,2.56,-3841.01,0.20,3.570,10.00,50.0
42.00,2.58,-3837.46,0.21,3.549,10.00,50.0
43.00,2.59,-3833.93,0.23,3.528,10.00,50.0
44.00,2.60,-3830.42,0.25,3.507,10.00,50.0
45.00,2.62,-3826.93,0.28,3.487,10.00,50.0
46.00,2.64,-3823.47,0.30,3.467,10.00,50.0
47.00,2.65,-3820.02,0.32,3.448,10.00,50.0
48.00,2.67,-3816.59,0.35,3.429,10.00,50.0
49.00,2.69,-3813.18,0.38,3.410,10.00,50.0
50.00,2.72,-3809.79,0.40,3.392,10.00,50.0
51.00,2.74,-3806.41,0.43,3.374,10.00,50.0
52.00,2.77,-3803.06,0.46,3.357,10.00,50.0
53.00,2.79,-3799.72,0.49,3.340,10.00,50.0
54.00,2.82,-3796.39,0.52,3.323,15.00,50.0
55.00,2.85,-3793.09,0.56,3.306,15.00,50.0
56.00,2.88,-3789.80,0.59,3.290,15.00,50.0
57.00,2.92,-3786.52,0.63,3.275,15.00,50.0
58.00,2.95,-3783.26,0.67,3.259,15.00,50.0
59.00,2.99,-3780.02,0.71,3.244,15.00,50.0
60.00,3.03,-3776.79,0.75,3.229,15.00,50.0
61.00,3.07,-3773.58,0.80,3.214,15.00,50.0
62.00,3.12,-3770.38,0.84,3.200,15.00,50.0
63.00,3.16,-3767.19,0.89,3.186,15.00,50.0
64.00,3.21,-3764.02,0.93,3.172,15.00,50.0
65.00,3.27,-3760.86,0.98,3.159,15.00,50.0
66.00,3.32,-3757.72,1.03,3.146,15.00,50.0
67.00,3.38,-3754.58,1.08,3.133,15.00,50.0
68.00,3.44,-3751.46,1.14,3.120,15.00,50.0
69.00,3.50,-3748.36,1.19,3.108,15.00,50.0
70.00,3.56,-3745.26,1.25,3.096,15.00,50.0
71.00,3.63,-3742.18,1.30,3.084,15.00,50.0
72.00,3.70,-3739.11,1.36,3.072,15.00,50.0
73.00,3.77,-3736.05,1.42,3.061,15.00,50.0
74.00,3.85,-3733.00,1.47,3.049,15.00,50.0
75.00,3.92,-3729.96,1.53,3.038,15.00,50.0
76.00,4.00,-3726.94,1.59,3.028,10.00,50.0
77.00,4.09,-3723.92,1.65,3.017,10.00,50.0
78.00,4.18,-3720.91,1.71,3.007,10.00,50.0
79.00,4.26,-3717.92,1.77,2.997,10.00,50.0
80.00,4.36,-3714.93,1.83,2.987,10.00,50.0
81.00,4.45,-3711.96,1.89,2.977,10.00,50.0
82.00,4.55,-3708.99,1.95,2.967,10.00,50.0
83.00,4.65,-3706.04,2.01,2.958,10.00,50.0
84.00,4.75,-3703.09,2.06,2.949,10.00,50.0
85.00,4.86,-3700.15,2.12,2.940,10.00,50.0
86.00,4.97,-3697.22,2.18,2.931,10.00,50.0
87.00,5.08,-3694.30,2.24,2.923,10.00,50.0
88.00,5.19,-3691.39,2.30,2.914,10.00,50.0
89.00,5.31,-3688.49,2.36,2.906,10.00,50.0
90.00,5.43,-3685.59,2.42,2.898,10.00,50.0
91.00,5.55,-3682.70,2.48,2.890,10.00,50.0
92.00,5.68,-3679.83,2.53,2.882,10.00,50.0
93.00,5.80,-3676.95,2.59,2.874,10.00,50.0
