time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent
4.00,2.47,-3991.80,0.00,4.760,0.00,50.0
5.00,2.47,-3987.08,0.00,4.715,0.00,50.0
6.00,2.47,-3982.41,0.00,4.670,0.00,50.0
7.00,2.47,-3977.79,0.00,4.627,0.00,50.0
8.00,2.47,-3973.20,0.00,4.584,0.00,50.0
9.00,2.47,-3968.66,0.00,4.543,0.00,50.0
10.00,2.47,-3964.16,0.00,4.502,0.00,50.0
11.00,2.47,-3959.70,0.00,4.462,0.00,50.0
12.00,2.47,-3955.27,0.00,4.423,0.00,50.0
13.00,2.47,-3950.89,0.00,4.384,0.00,50.0
14.00,2.47,-3946.54,0.00,4.346,0.00,50.0
15.00,2.47,-3942.23,0.00,4.309,0.00,50.0
16.00,2.47,-3937.96,0.00,4.273,0.00,50.0
17.00,2.47,-3933.72,0.00,4.238,0.00,50.0
18.00,2.47,-3929.52,0.00,4.203,0.00,50.0
19.00,2.47,-3925.35,0.00,4.169,0.00,50.0
20.00,2.47,-3921.22,0.00,4.136,0.00,50.0
21.00,2.47,-3917.11,0.00,4.103,0.00,50.0
22.00,2.47,-3913.04,0.00,4.071,5.00,50.0
23.00,2.47,-3909.00,0.00,4.039,5.00,50.0
24.00,2.47,-3904.99,0.01,4.009,5.00,50.0
25.00,2.47,-3901.02,0.01,3.978,5.00,50.0
26.00,2.47,-3897.07,0.01,3.949,5.00,50.0
27.00,2.47,-3893.15,0.02,3.920,5.00,50.0
28.00,2.48,-3889.25,0.02,3.892,5.00,50.0
29.00,2.48,-3885.39,0.03,3.864,5.00,50.0
30.00,2.48,-3881.55,0.04,3.836,5.00,50.0
31.00,2.48,-3877.74,0.05,3.810,5.00,50.0
32.00,2.49,-3873.96,0.06,3.784,5.00,50.0
33.00,2.49,-3870.20,0.07,3.758,5.00,50.0
34.00,2.49,-3866.47,0.08,3.733,5.00,50.0
35.00,2.50,-3862.76,0.09,3.708,5.00,50.0
36.00,2.50,-3859.08,0.10,3.684,5.00,50.0
37.00,2.51,-3855.42,0.11,3.660,5.00,50.0
38.00,2.52,-3851.78,0.12,3.637,5.00,50.0
39.00,2.52,-3848.17,0.14,3.614,5.00,50.0
40.00,2.53,-3844.58,0.15,3.592,5.00,50.0
41.00,2.54,-3841.01,0.16,3.570,5.00,50.0
42.00,2.55,-3837.46,0.18,3.549,10.00,50.0
43.00,2.56,-3833.93,0.20,3.528,10.00,50.0
44.00,2.58,-3830.42,0.21,3.507,10.00,50.0
45.00,2.59,-3826.93,0.23,3.487,10.00,50.0
46.00,2.60,-3823.47,0.25,3.467,10.00,50.0
47.00,2.62,-3820.02,0.28,3.448,10.00,50.0
48.00,2.63,-3816.59,0.30,3.429,10.00,50.0
