time_s,x_m,y_m,course_deg,speed_ms,rudder_deg,rpm_percent
9.00,2.47,-3968.66,0.00,4.543,0.00,50.0
10.00,2.47,-3964.16,0.00,4.502,0.00,50.0
11.00,2.47,-3959.70,0.00,4.462,0.00,50.0
12.00,2.47,-3955.27,0.00,4.423,0.00,50.0
13.00,2.47,-3950.89,0.00,4.384,0.00,50.0
14.00,2.47,-3946.54,0.00,4.346,0.00,50.0
15.00,2.47,-3942.23,0.00,4.309,0.00,50.0
16.00,2.47,-3937.96,0.00,4.273,0.00,50.0
17.00,2.47,-3933.72,0.00,4.238,0.00,50.0
18.00,2.47,-3929.52,0.00,4.203,0.00,50.0
19.00,2.47,-3925.35,0.00,4.169,0.00,50.0
20.00,2.47,-3921.22,0.00,4.136,0.00,50.0
21.00,2.47,-3917.11,0.00,4.103,0.00,50.0
22.00,2.47,-3913.04,0.00,4.071,0.00,50.0
23.00,2.47,-3909.00,0.00,4.039,0.00,50.0
24.00,2.47,-3904.99,0.00,4.009,0.00,50.0
25.00,2.47,-3901.02,0.00,3.978,0.00,50.0
26.00,2.47,-3897.07,0.00,3.949,0.00,50.0
27.00,2.47,-3893.15,0.00,3.920,0.00,50.0
28.00,2.47,-3889.25,0.00,3.892,0.00,50.0
29.00,2.47,-3885.39,0.00,3.864,0.00,50.0
30.00,2.47,-3881.55,0.00,3.836,0.00,50.0
31.00,2.47,-3877.74,0.00,3.810,0.00,50.0
32.00,2.47,-3873.96,0.00,3.784,0.00,50.0
33.00,2.47,-3870.20,0.00,3.758,0.00,50.0
34.00,2.47,-3866.47,0.00,3.733,0.00,50.0
35.00,2.47,-3862.76,0.00,3.708,0.00,50.0
36.00,2.47,-3859.08,0.00,3.684,0.00,50.0
37.00,2.47,-3855.42,0.00,3.660,0.00,50.0
38.00,2.47,-3851.78,0.00,3.637,0.00,50.0
39.00,2.47,-3848.17,0.00,3.614,0.00,50.0
40.00,2.47,-3844.58,0.00,3.592,0.00,50.0
41.00,2.47,-3841.01,0.00,3.570,0.00,50.0
42.00,2.47,-3837.46,0.00,3.549,0.00,50.0
43.00,2.47,-3833.93,0.00,3.528,0.00,50.0
44.00,2.47,-3830.42,0.00,3.507,0.00,50.0
45.00,2.47,-3826.93,0.00,3.487,0.00,50.0
46.00,2.47,-3823.47,0.00,3.467,0.00,50.0
47.00,2.47,-3820.02,0.00,3.448,0.00,50.0
